duration,protocol_type,service,flag,src_bytes,dst_bytes,class
int,string,string,string,int,int,string
,,,,,,
0,tcp,ftp_data,SF,491,0,normal
0,udp,other,SF,146,0,normal
0,tcp,private,S0,0,0,neptune
0,tcp,http,SF,232,8153,normal
0,tcp,http,SF,199,420,normal
0,tcp,private,REJ,0,0,neptune
0,tcp,private,S0,0,0,neptune
0,tcp,private,S0,0,0,neptune
0,tcp,remote_job,S0,0,0,neptune
0,tcp,private,S0,0,0,neptune
0,tcp,private,REJ,0,0,neptune
0,tcp,private,S0,0,0,neptune
0,tcp,http,SF,287,2251,normal
0,tcp,ftp_data,SF,334,0,warezclient
0,tcp,name,S0,0,0,neptune
0,tcp,netbios_ns,S0,0,0,neptune
0,tcp,http,SF,300,13788,normal
0,icmp,eco_i,SF,18,0,ipsweep
0,tcp,http,SF,233,616,normal
0,tcp,http,SF,343,1178,normal
0,tcp,mtp,S0,0,0,neptune
0,tcp,private,S0,0,0,neptune
0,tcp,http,SF,253,11905,normal
5607,udp,other,SF,147,105,normal
0,tcp,mtp,S0,0,0,neptune
507,tcp,telnet,SF,437,14421,normal
0,tcp,private,S0,0,0,neptune
0,tcp,http,SF,227,6588,normal
0,tcp,http,SF,215,10499,normal
0,tcp,http,SF,241,1400,normal
0,icmp,eco_i,SF,8,0,ipsweep
0,tcp,finger,S0,0,0,neptune
0,tcp,http,SF,303,555,normal
0,tcp,private,REJ,0,0,portsweep
0,udp,domain_u,SF,45,45,normal
1,udp,private,SF,105,147,normal
0,udp,domain_u,SF,43,43,normal
0,tcp,supdup,S0,0,0,neptune
0,tcp,http,SF,324,2302,normal
0,tcp,uucp_path,S0,0,0,neptune
0,tcp,ftp_data,S0,0,0,neptune
0,tcp,Z39_50,S0,0,0,neptune
2,tcp,smtp,SF,1591,372,normal
9052,udp,other,SF,146,105,normal
0,tcp,http,SF,290,3006,normal
0,tcp,csnet_ns,S0,0,0,neptune
0,udp,private,SF,28,0,teardrop
0,tcp,http,SF,255,861,normal
0,tcp,ftp_data,SF,334,0,warezclient
0,tcp,ftp_data,S0,0,0,neptune
0,tcp,http,SF,302,498,normal
0,tcp,private,REJ,0,0,neptune
